interaction_id,drug_a_id,drug_b_id,severity,mechanism,effect,Safer_alternative,rationale,reference
125,86,181,Minor,No significant interaction expected,Generally safe to use together,None needed,No known interaction,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
126,87,182,Minor,No significant interaction expected,Generally safe to use together,None needed,No known interaction,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
127,88,183,Minor,Additive anticholinergic effects,"Increased dry mouth, possible drowsiness",Use one agent at a time,Duplicative therapy,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
128,62,168,Minor,May decrease absorption of PPI,Space doses by 2+ hours,Space doses appropriately,Prevents binding interaction,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
129,15,184,Minor,Potential for additive hypotension,Monitor blood pressure,Monitor or adjust doses,Usually manageable with monitoring,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
130,63,54,Minor,No significant interaction expected,Generally safe to use together,None needed,No known interaction,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
131,89,185,Minor,No significant interaction expected,Generally safe to use together,None needed,No known interaction,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
132,90,186,Minor,Chelation; decreased absorption of both,Space doses by 2+ hours,Space doses appropriately,Prevents binding interaction,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
133,91,187,Minor,Binds ursodiol; decreased efficacy,Space doses by 5+ hours,Space doses appropriately,Prevents binding interaction,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
134,92,188,Minor,May decrease fluphenazine levels,Minimal clinical significance,Monitor or continue with caution,Interaction is typically not clinically relevant,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
135,0,189,Minor,May decrease anticoagulant effect,Monitor INR,Avoid herbal product,Patient education is important,Ann Pharmacother
136,93,190,Minor,Additive vasoconstrictive effects,Generally safe for short-term use,Use one agent at a time,Duplicative therapy,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
137,94,129,Minor,Chelation; decreased ciprofloxacin absorption,Space doses by 2+ hours,Space doses appropriately,Prevents binding interaction,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
138,95,14,Minor,Increased risk of amoxicillin rash,Generally not serious,Other antibiotics if history of rash,Lower risk with other antibiotics,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
139,96,191,Minor,Additive bradycardia risk,Monitor heart rate,Monitor or adjust doses,Usually manageable with monitoring,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
140,97,87,Minor,NSAIDs may decrease diuretic efficacy,Monitor for edema,Acetaminophen,Does not affect diuretic efficacy,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
141,98,192,Minor,CYP induction may decrease doxycycline levels,Minimal clinical significance,Monitor or continue with caution,Interaction is typically not clinically relevant,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
142,99,193,Minor,May increase bromocriptine levels,Minimal clinical significance,Monitor or continue with caution,Interaction is typically not clinically relevant,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
143,42,194,Minor,May increase perphenazine levels,Minimal clinical significance,Monitor or continue with caution,Interaction is typically not clinically relevant,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
144,100,195,Minor,Binds glyburide; decreased absorption,Space doses by 2+ hours,Space doses appropriately,Prevents binding interaction,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
145,101,196,Minor,Additive hypotensive effects,Monitor blood pressure,Monitor or adjust doses,Usually manageable with monitoring,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
146,57,197,Minor,May decrease insulin secretion,Monitor glucose levels,Monitor or adjust doses,Usually manageable with monitoring,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
147,102,198,Minor,May increase buspirone levels,Minimal clinical significance,Monitor or continue with caution,Interaction is typically not clinically relevant,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
148,103,199,Minor,Chelation with buffered didanosine,Decreased absorption,Space doses by 2+ hours,Prevents binding interaction,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
150,104,200,Minor,No significant interaction expected,Generally safe to use together,None needed,No known interaction,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
151,105,102,Minor,Increased gastric pH may decrease ketoconazole absorption,Space doses or use liquid formulation,Space doses appropriately,Optimizes absorption,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
152,106,201,Minor,May decrease phenytoin levels,Minimal clinical significance,Monitor or continue with caution,Interaction is typically not clinically relevant,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
153,15,32,Minor,Additive QT prolongation risk,Monitor ECG if concerned,Avoid combination if possible,"Theoretical risk, usually minimal","Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
155,107,4,Minor,May slightly increase digoxin levels,Minimal clinical significance,Monitor or continue with caution,Interaction is typically not clinically relevant,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
156,108,4,Minor,May slightly increase digoxin levels,Minimal clinical significance,Monitor or continue with caution,Interaction is typically not clinically relevant,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
157,109,113,Minor,May increase valaciclovir levels,Minimal clinical significance,Monitor or continue with caution,Interaction is typically not clinically relevant,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
158,0,202,Minor,Vitamin K content may decrease anticoagulant effect,Maintain consistent dietary intake,Consistent dietary intake,Patient education on maintaining consistent diet,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
159,110,7,Minor,May increase theophylline levels,Monitor theophylline levels,Monitor or adjust doses,Usually manageable with monitoring,Ann Pharmacother
160,111,203,Minor,Binding; decreased alendronate absorption,Space doses by 2+ hours,Space doses appropriately,Prevents binding interaction,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
161,112,5,Minor,Diuretic-induced sodium loss may increase lithium levels,Monitor lithium levels,Monitor or adjust doses,Usually manageable with monitoring,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
162,113,73,Minor,May increase metronidazole levels,Minimal clinical significance,Monitor or continue with caution,Interaction is typically not clinically relevant,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
163,68,20,Minor,May increase colchicine levels,Minimal clinical significance,Monitor or continue with caution,Interaction is typically not clinically relevant,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
164,114,138,Minor,May increase voriconazole levels,Minimal clinical significance,Monitor or continue with caution,Interaction is typically not clinically relevant,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
165,115,106,Minor,May decrease phenytoin levels,Minimal clinical significance,Monitor or continue with caution,Interaction is typically not clinically relevant,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
166,116,8,Minor,CYP induction may decrease glimepiride levels,Monitor glucose levels,Monitor or adjust doses,Usually manageable with monitoring,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
167,117,4,Minor,May increase digoxin levels,Monitor digoxin levels,Monitor or adjust doses,Usually manageable with monitoring,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
168,118,52,Minor,May increase alprazolam levels,Minimal clinical significance,Monitor or continue with caution,Interaction is typically not clinically relevant,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
169,119,8,Minor,May slightly decrease linagliptin levels,Minimal clinical significance,Monitor or continue with caution,Interaction is typically not clinically relevant,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
170,120,204,Minor,May increase montelukast levels,Minimal clinical significance,Monitor or continue with caution,Interaction is typically not clinically relevant,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
172,121,205,Minor,Additive hypotensive effect,Monitor blood pressure,Monitor or adjust doses,Usually manageable with monitoring,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
173,122,175,Minor,May increase levels of both drugs,Minimal clinical significance,Monitor or continue with caution,Interaction is typically not clinically relevant,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
174,76,26,Minor,May increase atorvastatin levels,Monitor for muscle pain,Monitor or adjust doses,Usually manageable with monitoring,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
175,123,206,Minor,Increased risk of myopathy,Monitor for muscle pain,Monitor or adjust doses,Usually manageable with monitoring,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
176,124,4,Minor,May slightly increase digoxin levels,Minimal clinical significance,Monitor or continue with caution,Interaction is typically not clinically relevant,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
177,125,207,Minor,Additive hypotensive effect,Monitor blood pressure,Monitor or adjust doses,Usually manageable with monitoring,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
178,126,208,Minor,Additive hypotensive effect,Monitor blood pressure,Monitor or adjust doses,Usually manageable with monitoring,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
179,0,209,Minor,May increase bleeding risk,Monitor for bleeding signs,Avoid herbal product,Patient education is important,Ann Pharmacother
